generation,best_fitness,avg_fitness,num_species,best_nodes,best_conns,max_cp
0,550.0,49.25,2,14,122,5
0,878.0,367.665,16,13,72,8
5,878.0,360.645,18,13,76,8
10,878.0,372.47,18,12,55,8
15,1278.0,405.77,16,13,67,12
20,1278.0,447.04,15,13,67,12
25,1278.0,389.165,10,13,67,12
30,1278.0,401.055,11,13,67,12
35,1278.0,437.605,10,16,56,12
40,1300.0,426.29,9,17,51,13
45,1300.0,451.325,9,17,51,13
50,1300.0,455.56,8,16,50,13
55,1300.0,462.675,8,16,50,13
60,1300.0,495.065,9,16,50,13
65,1300.0,477.295,9,16,50,13
70,1300.0,524.985,9,16,50,13
75,1300.0,522.175,8,16,50,13
80,1300.0,514.315,14,16,50,13
85,1300.0,526.23,14,16,50,13
90,1300.0,479.75,15,16,49,13
95,1300.0,518.515,17,16,49,13
0,1300.0,526.685,17,16,49,13
5,1300.0,515.92,12,15,50,13
10,1300.0,465.675,11,15,50,13
15,1300.0,483.745,11,16,51,13
20,1300.0,486.225,10,16,51,13
25,1300.0,524.515,16,16,51,13
30,1300.0,522.785,14,16,51,13
35,1300.0,547.825,15,16,51,13
40,1300.0,555.59,17,16,51,13
45,1300.0,510.05,13,16,51,13
50,1300.0,534.18,11,16,51,13
55,1300.0,537.325,11,16,51,13
60,1300.0,550.22,11,16,51,13
65,1300.0,518.4,11,16,51,13
70,1300.0,528.905,12,16,51,13
75,1300.0,508.56,11,16,51,13
80,1300.0,485.17,15,16,51,13
85,1300.0,542.02,15,16,51,13
90,1300.0,478.53,14,16,51,13
95,1300.0,507.62,14,16,51,13
100,1300.0,534.98,13,13,33,13
105,1300.0,494.715,8,13,33,13
110,1300.0,476.9,10,12,31,13
115,1300.0,474.24,7,14,32,13
120,1300.0,508.97,11,14,32,13
125,1300.0,552.075,14,14,32,13
130,1300.0,526.17,15,12,31,13
135,1300.0,539.605,16,12,30,13
140,1300.0,518.345,14,12,30,13
145,1300.0,499.07,14,12,30,13
150,1300.0,525.72,14,12,31,13
155,1300.0,489.955,10,12,31,13
160,1300.0,490.615,9,13,28,13
165,1300.0,499.145,13,15,34,13
170,1300.0,539.37,14,15,34,13
175,1300.0,533.57,17,16,35,13
180,1300.0,527.105,17,17,37,13
185,1300.0,491.605,13,16,32,13
190,1300.0,516.835,13,16,32,13
195,1300.0,524.205,12,17,37,13
200,1300.0,479.855,14,18,33,13
205,1300.0,572.66,16,18,33,13
210,1300.0,522.405,13,18,33,13
215,1300.0,520.225,15,18,33,13
220,1300.0,546.71,15,17,31,13
225,1300.0,561.705,11,16,31,13
0,909.0,433.06,11,26,18,9
0,909.0,433.06,11,26,18,9
5,1098.0,495.08,17,17,30,10
5,1098.0,495.08,17,17,30,10
10,1098.0,445.345,20,17,30,10
10,1098.0,445.345,20,17,30,10
15,1098.0,531.84,21,17,30,10
15,1098.0,531.84,21,17,30,10
350,1098.0,526.66,21,17,30,10
355,1098.0,380.575,11,17,30,10
360,1098.0,404.63,7,17,30,10
365,1098.0,448.965,11,17,30,10
370,1098.0,474.42,14,17,30,10
375,1098.0,528.605,15,17,30,10
380,1098.0,464.29,15,17,30,10
385,1098.0,474.36,13,17,30,10
390,1111.0,457.62,15,17,22,11
395,1111.0,445.775,17,17,22,11
400,1111.0,515.675,19,17,22,11
405,1111.0,527.73,19,17,22,11
410,1111.0,515.315,18,17,22,11
415,1111.0,499.425,16,17,22,11
420,1111.0,438.34,12,17,22,11
425,1111.0,431.57,12,17,22,11
430,1111.0,455.83,13,17,22,11
435,1111.0,437.615,17,17,22,11
440,1111.0,494.37,20,17,22,11
445,1111.0,487.995,19,17,22,11
450,1149.0,457.88,15,17,21,11
455,1149.0,532.355,15,17,21,11
460,1149.0,442.475,9,17,21,11
465,1149.0,457.505,12,17,21,11
470,1149.0,505.69,18,17,21,11
475,1149.0,517.13,18,17,21,11
480,1149.0,514.885,18,17,21,11
485,1149.0,515.365,18,17,21,11
490,1149.0,454.81,13,17,21,11
495,1149.0,511.32,13,17,21,11
500,1149.0,484.425,19,17,21,11
505,1149.0,515.21,17,17,21,11
510,1149.0,497.625,19,17,21,11
515,1156.0,535.275,18,41,31,11
520,1156.0,503.865,15,41,31,11
525,1156.0,532.565,17,41,31,11
530,1156.0,543.555,18,41,31,11
535,1156.0,551.55,19,41,31,11
540,1156.0,564.965,20,41,31,11
545,1156.0,503.64,16,41,31,11
550,1156.0,497.835,14,41,31,11
555,1156.0,453.05,15,41,31,11
560,1156.0,485.005,12,41,31,11
565,1156.0,478.085,14,41,31,11
570,1156.0,466.525,18,41,31,11
575,1156.0,508.495,17,41,31,11
580,1156.0,488.12,15,41,31,11
585,1156.0,482.825,16,41,31,11
590,1156.0,460.835,15,41,31,11
595,1156.0,451.86,16,41,31,11
600,1156.0,481.91,19,41,31,11
605,1156.0,521.33,18,41,31,11
610,1156.0,493.085,15,41,31,11
